deck,segments,stock_wall_s,a43_wall_s,speedup,set
cebik-w4rnl/models/Verticals/nec/3r6-halfsquare-12.nec,75,0.3083665082231164,0.19007095554843545,1.6224,corpus
cebik-w4rnl/models/Verticals/nec/3r6-hentenna-12.nec,77,0.3108552824705839,0.19188752956688404,1.6200,corpus
cebik-w4rnl/models/Verticals/nec/3r6-hsbeam-12.nec,118,0.3338294615969062,0.2021879805251956,1.6511,corpus
cebik-w4rnl/models/Verticals/nec/3r6-hsbeam-reverible-12.nec,131,0.34179556416347623,0.2165133678354323,1.5786,corpus
cebik-w4rnl/models/Verticals/nec/3r6-opendblrect-12.nec,122,0.3333419971168041,0.19887015596032143,1.6762,corpus
cebik-w4rnl/models/Verticals/nec/3r6-parasitichentennas-12-N2DT.nec,147,0.35586693277582526,0.20368287898600101,1.7472,corpus
cebik-w4rnl/models/Verticals/nec/3r6-phasedhentennas-12-N2DT.nec,147,0.35541622526943684,0.2080561458133161,1.7083,corpus
cebik-w4rnl/models/Verticals/nec/3r6-rectangle-12.nec,77,0.3104373188689351,0.191394476685673,1.6220,corpus
cebik-w4rnl/models/Verticals/nec/3r6-shortequidelta-sngnd-12.nec,85,0.2274397755973041,0.1385893365368247,1.6411,corpus
cebik-w4rnl/models/Verticals/nec/50-Lant-375.nec,60,0.10058798361569643,0.06570408260449767,1.5309,corpus
cebik-w4rnl/models/Verticals/nec/50-Lant-50.nec,60,0.10048982547596097,0.06581530440598726,1.5268,corpus
cebik-w4rnl/models/Verticals/nec/5r4-bobtailcurtain-14.nec,76,0.31134434370324016,0.1923959837295115,1.6182,corpus
cebik-w4rnl/models/Verticals/nec/5r4-dblrect-14.nec,153,0.35792558500543237,0.20485147461295128,1.7472,corpus
cebik-w4rnl/models/Verticals/nec/5r4-halfsquare-12.nec,75,0.3109046258032322,0.19134710542857647,1.6248,corpus
cebik-w4rnl/models/Verticals/nec/5r4-opendblrect-12.nec,122,0.3367408700287342,0.20012669451534748,1.6826,corpus
cebik-w4rnl/models/Verticals/nec/5r4-rect-14.nec,77,0.3123805630020797,0.19144868943840265,1.6317,corpus
cebik-w4rnl/models/Verticals/nec/7-3elcaploadparasitic-sngnd.nec,330,0.526389635168016,0.24013594118878245,2.1920,corpus
cebik-w4rnl/models/Verticals/nec/7-3elhatloadparasitic-sngnd.nec,318,0.5172291165217757,0.2210129126906395,2.3403,corpus
cebik-w4rnl/models/Verticals/nec/7-3elparasitic-sngnd.nec,294,0.3874252839013934,0.15869306260719895,2.4413,corpus
cebik-w4rnl/models/Verticals/nec/7-3elwireparasitic-sngnd.nec,70,0.194293977227062,0.11931123677641153,1.6285,corpus
cebik-w4rnl/models/Verticals/nec/7-bobtailcurtain-14.nec,76,0.28529526572674513,0.17443736409768462,1.6355,corpus
cebik-w4rnl/models/Verticals/nec/7-dbldelta-sngnd-12.nec,100,0.29876248305663466,0.1800225581973791,1.6596,corpus
cebik-w4rnl/models/Verticals/nec/7-dblrect-14.nec,153,0.3307139207608998,0.1878971760161221,1.7601,corpus
cebik-w4rnl/models/Verticals/nec/7-dpl-hats-sngnd.nec,110,0.21199636161327362,0.1262024948373437,1.6798,corpus
cebik-w4rnl/models/Verticals/nec/7-dpl-spiralhats-sngnd.nec,98,0.10778602678328753,0.06646598782390356,1.6217,corpus
cebik-w4rnl/models/Verticals/nec/7-halfsquare-12.nec,75,0.2839655731804669,0.17367730243131518,1.6350,corpus
cebik-w4rnl/models/Verticals/nec/7-halfwlvert-6parasiticguys.nec,328,0.7042187359184027,0.3113679769448936,2.2617,corpus
cebik-w4rnl/models/Verticals/nec/7-hsbeam-12.nec,131,0.316000625025481,0.1822872986085713,1.7335,corpus
cebik-w4rnl/models/Verticals/nec/7-monopole-4sloperad-sngnd.nec,60,0.18933688942342997,0.12152123544365168,1.5581,corpus
cebik-w4rnl/models/Verticals/nec/7-monopole-6rad-sngnd.nec,200,0.36492950888350606,0.1930811693891883,1.8900,corpus
cebik-w4rnl/models/Verticals/nec/7-opendblrect-12.nec,122,0.310518201906234,0.18112162174656987,1.7144,corpus
cebik-w4rnl/models/Verticals/nec/7-quadloop-dia-12.nec,102,0.298969894181937,0.193703253287822,1.5434,corpus
cebik-w4rnl/models/Verticals/nec/7-quadloop-sq-12.nec,69,0.194503344129771,0.11951498687267303,1.6274,corpus
cebik-w4rnl/models/Verticals/nec/7-rect-14.nec,77,0.2855933392420411,0.17517909221351147,1.6303,corpus
cebik-w4rnl/models/Verticals/nec/7-rtangdelta-sngnd-12.nec,52,0.2770795221440494,0.17519513703882694,1.5815,corpus
cebik-w4rnl/models/Verticals/nec/7-sterba-12.nec,295,0.5994572984054685,0.266833508387208,2.2466,corpus
cebik-w4rnl/models/Verticals/nec/7-sterba-ctrfed-12.nec,274,0.5616623102687299,0.249678079970181,2.2495,corpus
