"i","f_MHz","ms","R","X"
"0","14","59.9","75.033","-43.681"
"1","14.0071","56.3","75.114","-42.966"
"2","14.0143","59","75.195","-42.252"
"3","14.0214","45.5","75.276","-41.537"
"4","14.0286","36.7","75.357","-40.822"
"5","14.0357","35.3","75.438","-40.107"
"6","14.0429","34.7","75.52","-39.391"
"7","14.05","39.8","75.601","-38.676"
"8","14.0571","54.3","75.682","-37.961"
"9","14.0643","52.7","75.761","-37.23"
"10","14.0714","55.2","75.842","-36.514"
"11","14.0786","38","75.924","-35.799"
"12","14.0857","36.7","76.006","-35.083"
"13","14.0929","36.2","76.087","-34.368"
"14","14.1","34.8","76.169","-33.652"
"15","14.1071","34.9","76.251","-32.936"
"16","14.1143","38.7","76.333","-32.22"
"17","14.1214","42.9","76.415","-31.504"
"18","14.1286","55.6","76.497","-30.788"
"19","14.1357","56","76.579","-30.072"
"20","14.1429","48.6","76.661","-29.356"
"21","14.15","47.6","76.743","-28.64"
"22","14.1571","58.6","76.825","-27.923"
"23","14.1643","50.6","76.908","-27.207"
"24","14.1714","45.3","76.99","-26.49"
"25","14.1786","46.3","77.072","-25.774"
"26","14.1857","33.2","77.155","-25.057"
"27","14.1929","33.7","77.237","-24.34"
"28","14.2","32.8","77.32","-23.623"
"29","14.2071","37","77.401","-22.89"
"30","14.2143","36.1","77.483","-22.173"
"31","14.2214","34.8","77.566","-21.456"
"32","14.2286","34.8","77.649","-20.738"
"33","14.2357","34.1","77.732","-20.021"
"34","14.2429","36.8","77.815","-19.303"
"35","14.25","53.4","77.898","-18.586"
"36","14.2571","46.4","77.981","-17.868"
"37","14.2643","39.7","78.065","-17.15"
"38","14.2714","41.1","78.148","-16.432"
"39","14.2786","40.4","78.231","-15.714"
"40","14.2857","35","78.315","-14.996"
"41","14.2929","33.4","78.398","-14.277"
"42","14.3","36","78.482","-13.559"
"43","14.3071","39.3","78.565","-12.84"
"44","14.3143","41.6","78.649","-12.122"
"45","14.3214","57.7","78.733","-11.403"
"46","14.3286","47","78.817","-10.684"
"47","14.3357","35.1","78.901","-9.965"
"48","14.3429","36","78.985","-9.2458"
"49","14.35","52","79.068","-8.5099"
