0033 against the binary, shipped grid vs direct evaluation
direct rtol = 1e-11; lambda = 163.64 m
soil: eps_r = 3.0, sigma = 1e-05

  h/lambda       trunk |                nec5cl |                  grid     err% |                direct     err% |    calls
---------------------------------------------------------------------------------------------------------------------------
  0.000109     bspline |    19.8780  -98.5590j |    26.5628  +19.9146j   118.02 |    26.5557  +19.9191j   118.02 |      507
  0.000109  razor-nec5 |    19.8780  -98.5590j |  1859.0814+1565.5662j  2466.91 |  1861.3077+1568.3363j  2470.40 |      295
     0.001     bspline |    19.6040 -112.6500j |    20.4380  -94.5388j    15.86 |    20.4365  -94.5337j    15.86 |      502
     0.001  razor-nec5 |    19.6040 -112.6500j |    19.9414  -98.3051j    12.55 |    19.9399  -98.2986j    12.55 |      295
     0.003     bspline |    19.4000 -118.8600j |    20.0107 -110.7274j     6.77 |    20.0097 -110.7269j     6.77 |      507
     0.003  razor-nec5 |    19.4000 -118.8600j |    19.4493 -117.1991j     1.38 |    19.4485 -117.1980j     1.38 |      294
      0.01     bspline |    18.9240 -124.5700j |    19.4771 -117.8936j     5.32 |    19.4760 -117.8950j     5.32 |      501
      0.01  razor-nec5 |    18.9240 -124.5700j |    18.9361 -124.5489j     0.02 |    18.9352 -124.5503j     0.02 |      294
